Disease,Sign and Symptoms,Remedy,PREPARED MEDICINES,External Medicines,Others
NON-SPECIFIC FEVERS,"Rise in temperature, headache, running in the nose, cough, pain all pver the body","Nilavembu kudineer Ingredients:
1. Nilavembu (chiratta) 8 g.
2. Vettiver (khuskhus black) 8 g,
3. Vilamitchanver (khuskbus white root) 8 g,
4. Chandanam (sandalwood) 8 g.
5. Peipudal (wild snake gourd) 8 g.
6. Koraikizhangu (out grass) 8 g.
7. Chukku (dried ginger) 8 g.
8. Milagu (black pepper) 8 g.
9. Thippali (long pepper) 8 g.
10. Parpadagam (bitter hair flower) 8 g.
Method of preparation:
Powder the above drugs coarsely in a mortar, add four cups
of water, boil and reduce to one cup.
Dose
Half-a-cup, twice daily, before food.","1. Chandachandrodayam pills ? 1 to 2 pills with honey or
betel leaf juice. (used in fever with constipation
also)

2. Vasanthakusumakaram pills? 1 to 2 pills with honey.
(also useful in fever
associated with eructation, sneezing and thrist)",nan,
NON-SPECIFIC FEVERS,"Rise in temperature, headache, running in the nose, cough, pain all pver the body","Nochi kudineer
Ingredients
1. Nochi elai (negundo tender leaves) - one handful
2. Milagu (black pepper) 8 g.   3. Poondu (garlic) 4g.
4. Kammaru vettrilai (betel leaf- 10 numbers
black variety)

Method of preparation
Add to the above drugs 8 cups of water, boil and reduce to
one cup.
Dose
Half-a-cup, twice daily, before food Can also be used for
fever with shivering.","1. Chandachandrodayam pills ? 1 to 2 pills with honey or
betel leaf juice. (used in fever with constipation
also)

2. Vasanthakusumakaram pills? 1 to 2 pills with honey.
(also useful in fever
associated with eructation, sneezing and thrist)",nan,
WHOOPING COUGH(Kakkuvan Irumal),"Paraoxysmal cough with whoop, vomiting, occasionally
passing motion and urine during the attack","Vasambu
(sweet flag)
Method of preparation
Powder the Vasambu finely.
Dose
2 pinchful (250 mg.) three times a day.
Vehicle (Anupanam)
White of an egg.","1. Adathodai (vasaka) manappaku ? 4 to 1 teaspoonful
with warm water.
2. Kakkuvan leghyam ? 3to 5 drops,
3 to 4 times a day.",Karpoorathi thailam (for application on the chest),
WHOOPING COUGH(Kakkuvan Irumal),"Paraoxysmal cough with whoop, vomiting, occasionally
passing motion and urine during the attack","Thuthuvelai Nei
Ingredients
1. Thuthuvelai (climbing brinjal) juice 150 ml.
2. Pasu nei (Cow?s ghee) 150 mi.
3. Koshtam (costus) 4g.
Method of preparation
Powder the koshtam, add it to the mixture of 1 and 2, boil
to dehydration till it is reduced to ghee pakam.
Dose
1/2 to 1 teaspoonful, twice daily, with warm water.","1. Adathodai (vasaka) manappaku ? 4 to 1 teaspoonful
with warm water.
2. Kakkuvan leghyam ? 3to 5 drops,
3 to 4 times a day.",Karpoorathi thailam (for application on the chest),
"MEASLES (Manalvari Ammai, Chitchilupai)","Cold, fever, sneezing, redness of the conjunctiva, watering
of the eyes, cough, appearance of specific rash and small white
spots in the mouth","Gorochanai (ox gall)
Dose
120 mg of gorochanai to be mixed with 1 to 2 teaspoonful
of karpooravalli (Indian borage) juice and given twice daily.
Gorochanai can also be given with milk or water","Mankombu barpam (sirungi barpam) ? 200 to400 mg.
twice daily.
Vehicle (anupanam)
Butter or ghee",nan,
"COMMON COLD (Jalathodam, Neerkovai)","Sneezing, sore throat, watery nasal discharge, mild cough","Milagu Kudineer (Pepper decoction)
Method of preparation :
Take 5g. of powdered pepper, add 4 cups of water and
prepare decoction reducing to one cup.
Dose :
1/4 to 1/2 cup, twice daily.
Used also in sore throat, laryngitis, pain in abdomen. It is
also used as an antidote for mercury, perchloride of mercury and
arsenic poisoning.","1. Chandachandrodayam pills ? 1 pill, twice daily with
honey",nan,"Aavipidithal (vapour bath) :
Prepare a decoction of nochi (negundo) leaves and place a
red hot brick in it. The vapour is inhaled by covering the body
with a blanket.
Pugaioottal (Fumigation):
Mix equal parts of sambirani (benzoin) and manjal (turmeric)
powder and use it for fumigation in common cold"
"COMMON COLD (Jalathodam, Neerkovai)","Sneezing, sore throat, watery nasal discharge, mild cough","Inji (ginger) juice
Method of Preparation :
Take 10g. of ginger, grind it in a mortar and extract the
juice. Heat the juice to boiling point in a mud pan. After
cooling, use the supernatant fluid.
Dose :
10 to 12 ml. (2 to 4 teaspoonful), twice a day.
Can be used in nausea and also as an appetiser.","1. Chandachandrodayam pills ? 1 pill, twice daily with
honey",nan,"Aavipidithal (vapour bath) :
Prepare a decoction of nochi (negundo) leaves and place a
red hot brick in it. The vapour is inhaled by covering the body
with a blanket.
Pugaioottal (Fumigation):
Mix equal parts of sambirani (benzoin) and manjal (turmeric)
powder and use it for fumigation in common cold"
IRUMAL(Cough),"Irritating cough, pain in the chest, cough with expectoration,sometimes with slight rise of temperature","Adathodai kudineer
Method of preparation
Take two or three adathoda (vasaka) leaves, fry them adding little honey, add 2g each of powdered athimathuram (liquorice
root), thalisapatri (many spined flacourtia) and long pepper.Prepare decoction adding 400 ml. water and reducing to one fourth.
Dose :
30 to 60 ml. thrice daily","1. Thalisadi choornam ? 1.5g with honey twice daily.
2. Thalisadi vatakam ? 1 tablet, twice daily
3. Kastoori karuppu ? 50 to 100 mg. 2 to 3 times a
day, with honey.
4. Pravala barpam ? 100 to 200 mg. with butter
or ghee",nan,nan
IRUMAL(Cough),"Irritating cough, pain in the chest, cough with expectoration,sometimes with slight rise of temperature","Adathodai manappagu
Take Adathoda Vasaka nees 175g, cut into email
pieces, add 2 litres of water. Prepare decoction reducing to 1/4th and filter. Add 175 g. of sugar to the decoction, filter again and boil it to a syrupy consistency.
Dose :
10 to 20 ml., mixed with cooled boiled water, thrice daily","1. Thalisadi choornam ? 1.5g with honey twice daily.
2. Thalisadi vatakam ? 1 tablet, twice daily
3. Kastoori karuppu ? 50 to 100 mg. 2 to 3 times a
day, with honey.
4. Pravala barpam ? 100 to 200 mg. with butter
or ghee",nan,nan
IRUMAL(Cough),"Irritating cough, pain in the chest, cough with expectoration,sometimes with slight rise of temperature","Chitharathai kudineer
(Lesser galanga decoction)
Ingredients :
1. Chitharathai ? Lesser galanga ? 8g.
2. Perichampalam ? Dates ? 8g.
3. Chukku ? Dried ginger ? 8g.
4. Athimathuram ? Liquorice ? 8g. 

Method of preparation -
Take the above drugs, powder them coarsely, bundle the
powder in a cloth, boil in a mixture of 30 ml. of milk adding
equal quantity of water in low heat and decant It. Add 8g.
of powdered palm sugar candy (small variety).

Dose :
50 ml., twice daily, for 5 days, with honey","1. Thalisadi choornam ? 1.5g with honey twice daily.
2. Thalisadi vatakam ? 1 tablet, twice daily
3. Kastoori karuppu ? 50 to 100 mg. 2 to 3 times a
day, with honey.
4. Pravala barpam ? 100 to 200 mg. with butter
or ghee",nan,nan
BRONCHIAL ASTHMA (Iraippu-lrumal),"Tightness in the chest, dyspnoea on exertion, the patient adopts an upright position wheezing, unproductive cough.
","Adathodai manappagu
Take Adathoda Vasaka nees 175g, cut into email
pieces, add 2 litres of water. Prepare decoction reducing to 1/4th and filter. Add 175 g. of sugar to the decoction, filter again and boil it to a syrupy consistency.
Dose :
10 to 20 ml., mixed with cooled boiled water, thrice daily","1. Thalisadi choornam ? 1.5g with honey twice daily.
2. Thalisadi vatakam ? 1 tablet, twice daily
3. Kastoori karuppu ? 50 to 100 mg. 2 times a
day, with honey.
4. Pravala barpam ? 100 to 200 mg. with butter
or ghee","1. Kukkil thailam
2. Karpoorathi thailam",nan
BRONCHIAL ASTHMA (Iraippu-lrumal),"Tightness in the chest, dyspnoea on exertion, the patient adopts an upright position wheezing, unproductive cough.
","Adathodai Kudineer
Method of preparation
Take two or three adathoda (vasaka) leaves, fry them adding little honey, add 2g each of powdered athimathuram (liquorice
root), thalisapatri (many spined flacourtia) and long pepper.Prepare decoction adding 400 ml. water and reducing to one fourth.
Dose :
30 to 60 ml. thrice daily","1. Thalisadi choornam ? 1.5g with honey twice daily.
2. Thalisadi vatakam ? 1 tablet, twice daily
3. Kastoori karuppu ? 50 to 100 mg. 2 times a
day, with honey.
4. Pravala barpam ? 100 to 200 mg. with butter
or ghee","1. Kukkil thailam
2. Karpoorathi thailam",nan
BRONCHIAL ASTHMA (Iraippu-lrumal),"Tightness in the chest, dyspnoea on exertion, the patient adopts an upright position wheezing, unproductive cough.
","Swasakudoori Pills
Ingredients
1. Vellerukkupoo (white muder flowers) ? 1 part
2. Milagu (black peppar) ? 1 part
Method of preparation
Grind 1 and 2 above and roll into pill size of a Gunjakundumani (abrus precatoriaus seed) (125 mg.)
Dose
1 to 2 pills, with one betel leaf","1. Thalisadi choornam ? 1.5g with honey twice daily.
2. Thalisadi vatakam ? 1 tablet, twice daily
3. Kastoori karuppu ? 50 to 100 mg. 2 times a
day, with honey.
4. Pravala barpam ? 100 to 200 mg. with butter
or ghee","1. Kukkil thailam
2. Karpoorathi thailam",
"TONSILLITIS (Annakku Thooru Veekkam or Lasunathabitham)
","There is swelling and redness of both tonsils, dryness and
soreness of the throat, pain on swallowing, sometimes accompanied by fever","Karpooravalli (indian borage)
to be chewed well and swallowed thrice daily","Sangu barpam?100 to 200 mg. with milk, ghee or butter.
",,
"TONSILLITIS (Annakku Thooru Veekkam or Lasunathabitham)
","There is swelling and redness of both tonsils, dryness and
soreness of the throat, pain on swallowing, sometimes accompanied by fever","Garlic and honey throat paint (poondu poochu)
Method of preparation
Make a paste of garlic, smear it on a piece of cloth, warm it
on a low flame and squeeze the juice. Add equal quantity of
honey and swab the inflamed tonsils","Sangu barpam?100 to 200 mg. with milk, ghee or butter.
",,
 LARYNGITIS (Thondai Kattu),"The throat will be dry and sore. Voice will be hoarse.
Dry cough and occasional fever will be present","Akkarakara choornam (Pyrethrum root powder)
Method of preparation
Make a fine powder of akkarakaram ver (Pyrethrum root).
Dose
300 to 600 mg., with warm water, twice a day.
Increases the flow of saliva, useful in hoarse voice, thirst,
toothache, enlargement of the uvula","1. Thalisadi choornam ? 1.5g with honey twice daily.
2. Thalisadi vatakam ? 1 tablet, twice daily
3. Vasanthakusumakara pills - 1 to 2 pills, with
honey, twice daily
4. Kastoorikaruppu --  50 to 100 mg, with honey, twice daily
5. Gorochanai --rubbed in breast milk useful in children",,
 LARYNGITIS (Thondai Kattu),"The throat will be dry and sore. Voice will be hoarse.
Dry cough and occasional fever will be present","Karuvelampatti kudineer (Acacia arabica willed bark)
Ingredients:
1 Karavelampattai (Acacia arabica willd bark) 30g.
2. Kalipakku (betel nut) 2 g
3, Kasikatti (black catchu) 2g.
4. Masikkai (oak galls) 2 g.
5. Padikaram (alum) 2 g-
Method of preparation:
Powder all the above drugs, and 2 litres of water and prepare
the decoction, reducing to 1/4 th.
Dose:
Useful for gargling in sore throat, and for stomatitis","1. Thalisadi choornam ? 1.5g with honey twice daily.
2. Thalisadi vatakam ? 1 tablet, twice daily
3. Vasanthakusumakara pills - 1 to 2 pills, with
honey, twice daily
4. Kastoorikaruppu --  50 to 100 mg, with honey, twice daily
5. Gorochanai --rubbed in breast milk useful in children",,
GINGIVITIS (Palleeru veekkam),"The gums are swollen, painful and reddish","Thripalai koppuli kudineer (Thiripala decoction gargle)
Ingredients
1. Kadukkai (chebulic or black myrobalam) 10 g.
2. Nellikkai (myrobalam embelic (amla) ) 10 g.
3. Thanrikai (balleric myrobalam) 10 g.
Method of preparation:
Take the pulp of each of the above ingredients, make it into a coarse powder, add 800 ml. of water, and prepare decoction by
reducing to 1/4th.
Dose:
30 to 60 ml, for gargling, as required",,,
GINGIVITIS (Palleeru veekkam),"The gums are swollen, painful and reddish","Nallennai koppulippu (gingelly oil gargle)
",,,
STOMATITIS (Vaippun),"The gums and mouth are reddish and painful. The tongue
may be swollen. Foetid smell of the breath","Padikara neer Koppulippu (alum water gargle)
Method of preparation
Take 3.5 g. of alum and dissolve in 1 litre of water. Use it
asa gargle and for washing ulcers and wounds","1. Silajat barpam ? 0.5 to 1 g. with butter or ghee twice daily.
2. Padikara barpam ? 200 to 300 mg. with butter or ghee,twice daily.
3. Kungilya vennai ? areca nut size (6 to 12 g.)
",,
STOMATITIS (Vaippun),"The gums and mouth are reddish and painful. The tongue
may be swollen. Foetid smell of the breath","Karuvelampatti kudineer (Acacia arabica willed bark)
Ingredients:
1 Karavelampattai (Acacia arabica willd bark) 30g.
2. Kalipakku (betel nut) 2 g
3, Kasikatti (black catchu) 2g.
4. Masikkai (oak galls) 2 g.
5. Padikaram (alum) 2 g-
Method of preparation:
Powder all the above drugs, and 2 litres of water and prepare
the decoction, reducing to 1/4 th.
Dose:
Useful for gargling in sore throat, and for stomatitis","1. Silajat barpam ? 0.5 to 1 g. with butter or ghee twice daily.
2. Padikara barpam ? 200 to 300 mg. with butter or ghee,twice daily.
3. Kungilya vennai ? areca nut size (6 to 12 g.)
",,
STOMATITIS (Vaippun),"The gums and mouth are reddish and painful. The tongue
may be swollen. Foetid smell of the breath","Alampattai Koppulippu Kudineer (Banyan bark
decoction gargle)
Method of preparation
Banyan tree bark ? 30 g.
Crush the bark and add 1 litre of water and prepare
decoction, and gargle as often as required","1. Silajat barpam ? 0.5 to 1 g. with butter or ghee twice daily.
2. Padikara barpam ? 200 to 300 mg. with butter or ghee,twice daily.
3. Kungilya vennai ? areca nut size (6 to 12 g.)
",,
STOMATITIS (Vaippun),"The gums and mouth are reddish and painful. The tongue
may be swollen. Foetid smell of the breath","Manathakkali elai (black night shade leaf) and Pachai
payaru paruppu (green gram) prepared into a side dish
and taken along with food","1. Silajat barpam ? 0.5 to 1 g. with butter or ghee twice daily.
2. Padikara barpam ? 200 to 300 mg. with butter or ghee,twice daily.
3. Kungilya vennai ? areca nut size (6 to 12 g.)
",,
STOMATITIS (Vaippun),"The gums and mouth are reddish and painful. The tongue
may be swollen. Foetid smell of the breath","Thripalai koppuli kudineer (Thiripala decoction gargle)
Ingredients
1. Kadukkai (chebulic or black myrobalam) 10 g.
2. Nellikkai (myrobalam embelic (amla) ) 10 g.
3. Thanrikai (balleric myrobalam) 10 g.
Method of preparation:
Take the pulp of each of the above ingredients, make it into a coarse powder, add 800 ml. of water, and prepare decoction by
reducing to 1/4th.
Dose:
30 to 60 ml, for gargling, as required","1. Silajat barpam ? 0.5 to 1 g. with butter or ghee twice daily.
2. Padikara barpam ? 200 to 300 mg. with butter or ghee,twice daily.
3. Kungilya vennai ? areca nut size (6 to 12 g.)
",,
STOMATITIS (Vaippun),"The gums and mouth are reddish and painful. The tongue
may be swollen. Foetid smell of the breath",Muttai venkaru with pasumpal (White of egg mixed with Cow?s milk),"1. Silajat barpam ? 0.5 to 1 g. with butter or ghee twice daily.
2. Padikara barpam ? 200 to 300 mg. with butter or ghee,twice daily.
3. Kungilya vennai ? areca nut size (6 to 12 g.)
",,
GLOSSITIS (Akkaram),There will be ulceration in the tongue.,The treatment indicated for Stomatitis may be adopted for this disease also,,,
